date,forecast,trend_factor,promo_flag,discount,event_name,region,store,item
2025-08-03,144.82271479126734,1.0487855268422732,0,0.0,,East,S1,Burger
2025-08-10,135.5943042800738,1.0210371764849246,0,0.0,,East,S1,Burger
2025-08-17,132.40468162174588,1.0182625672671375,0,0.0,,East,S1,Burger
2025-08-24,128.02752106441704,0.9866338055625393,0,0.0,,East,S1,Burger
2025-08-03,154.9510298087174,1.007083782833332,0,0.0,,East,S1,Pizza
2025-08-10,152.26759376030773,1.0032345360088797,0,0.0,,East,S1,Pizza
2025-08-17,158.2411256851283,1.0268452119624387,0,0.0,,East,S1,Pizza
2025-08-24,139.9326628994075,0.9771037943794673,0,0.0,,East,S1,Pizza
2025-08-03,169.5645892981965,1.0253560168342912,0,0.0,,East,S2,Burger
2025-08-10,173.7730601766658,1.0241366018219373,0,0.0,,East,S2,Burger
2025-08-17,180.5337608390618,1.0129988504179754,0,0.0,,East,S2,Burger
2025-08-24,152.8643361600713,1.0029904140379235,0,0.0,,East,S2,Burger
2025-08-03,116.57305139814608,1.0330914152315847,0,0.0,,East,S2,Pizza
2025-08-10,113.5297405885121,1.0278747094632628,0,0.0,,East,S2,Pizza
2025-08-17,112.10830917047899,1.0094867365221185,0,0.0,,East,S2,Pizza
2025-08-24,102.38051171384271,0.9899351916525989,0,0.0,,East,S2,Pizza
2025-08-03,160.38738853948584,1.0728731841296324,0,0.0,,West,S1,Burger
2025-08-10,155.74929533171786,1.0093553310885857,0,0.0,,West,S1,Burger
2025-08-17,161.33837280449248,1.0168354323349396,0,0.0,,West,S1,Burger
2025-08-24,140.10312379284892,0.9730767270643073,0,0.0,,West,S1,Burger
2025-08-03,111.22328059412072,1.073056040868177,0,0.0,,West,S1,Pizza
2025-08-10,101.04830785423596,0.9990416727190767,0,0.0,,West,S1,Pizza
2025-08-17,103.7351536695608,1.0274391947500667,0,0.0,,West,S1,Pizza
2025-08-24,93.7459221513924,0.984834448158181,0,0.0,,West,S1,Pizza
2025-08-03,107.01112678425244,1.0081485383901363,0,0.0,,West,S2,Burger
2025-08-10,110.9360192643081,1.0232781375130544,0,0.0,,West,S2,Burger
2025-08-17,110.94695408657364,1.0071393835910583,0,0.0,,West,S2,Burger
2025-08-24,95.85716222171803,0.9708177952631425,0,0.0,,West,S2,Burger
2025-08-03,146.70643726520976,1.0675474488268497,0,0.0,,West,S2,Pizza
2025-08-10,135.76368088102933,1.0200491228986104,0,0.0,,West,S2,Pizza
2025-08-17,128.74698409682463,1.012582596853783,0,0.0,,West,S2,Pizza
2025-08-24,120.9445366813534,0.9876670763968897,0,0.0,,West,S2,Pizza
